attention meditation delta theta velocity
21 48 1187088 144285 0 
16 64 1401086 900215 0 
4 48 314353 715156 9,995003 
1 48 742964 134043 9,995003 
10 56 187847 8527 9,995003 
4 47 599340 333915 9,995003 
17 48 1514799 175050 9,995003 
20 51 1411044 439686 9,995003 
20 51 269226 11380 9,995003 
20 51 1627124 311891 9,995003 
27 44 1281811 156079 9,995003 
47 75 1485714 83939 9,995003 
53 90 198586 95679 9,995003 
53 84 1820295 514520 9,995003 
38 74 430323 611659 9,995003 
29 70 1814363 485621 0 
51 60 1503211 229520 9,995003 
66 80 181688 8190 9,995003 
70 88 835458 671326 10,09243 
77 87 826089 98571 10,15826 
60 90 164050 22321 10,2501 
48 75 812448 147164 9,995003 
43 61 330787 163770 9,995003 
38 47 823053 106315 9,995003 
29 26 250753 172287 9,995003 
24 35 1058057 107297 9,995003 
29 51 514293 30536 9,995003 
26 69 963653 79160 9,995003 
26 97 70726 63842 9,995003 
21 67 96224 222210 0 
35 60 165946 23695 9,995003 
38 51 713020 65642 9,995003 
23 41 348738 60259 9,995003 
30 53 1240957 16553 9,995003 
27 44 2340012 213395 9,995003 
56 48 243605 16617 9,995003 
41 53 914442 371111 9,995003 
23 66 1130259 347764 9,995003 
14 80 325878 82223 9,995003 
1 84 1677947 72110 9,995003 
8 75 999680 149178 9,995003 
40 61 667715 70720 0 
63 47 1421384 111262 0 
64 47 724527 34425 0 
75 50 660413 75429 0 
67 74 846071 16850 0 
51 97 742788 46818 0 
29 69 223904 147603 0 
11 43 128201 25858 0 
14 43 1131308 154088 0 
23 75 1173250 64020 0 
23 74 918348 58111 0 
17 88 2420247 217624 0 
17 67 1375653 75008 0 
23 54 552368 211544 0 
10 44 899375 762086 0 
13 44 538751 254820 0 
11 50 258151 92947 0 
13 44 1744644 1373839 0 
27 41 561655 113837 0 
21 37 1244630 90609 0 
13 37 1309553 903456 0 
29 38 1635597 211933 0 
40 26 1260902 182467 0 
61 40 103629 27371 0 
74 47 49620 25635 0 
61 51 343881 251941 0 
54 56 344151 435176 0 
37 64 110490 38458 0 
44 51 56906 20830 0 
50 44 714517 293861 0 
47 21 164417 628868 0 
56 24 1306230 137716 0 
41 37 2204244 307482 0 
56 77 760155 314890 0 
61 100 652267 126823 0 
43 81 634303 240889 0 
63 88 1269306 49047 0 
61 84 628218 326765 0 
91 100 1216237 384357 0 
64 96 841644 245976 0 
96 97 1601794 54049 0 
77 100 1039225 439610 0 
75 91 535962 57095 0 
57 77 1202828 837477 0 
47 54 2104206 877603 0 
60 64 751822 51309 0 
34 66 702278 86404 0 
60 81 256661 80147 0 
53 91 107168 24021 0 
67 91 1164834 108357 0 
67 91 526 83 0 
67 91 2059846 1119319 0 
67 91 1295262 719409 0 
67 91 4 1 0 
67 91 2014 1049 0 
47 97 97589 40622 0 
40 100 11758 18194 0 
29 75 154567 187760 0 
17 70 290233 105341 0 
34 90 232066 33653 0 
47 90 1194933 243749 0 
48 100 476936 238188 0 
61 100 114355 17074 0 
61 100 854637 54055 0 
61 100 3539 1456 0 
61 100 23 2 0 
64 100 1242628 1081990 0 
74 97 195476 71240 0 
94 97 202879 16755 0 
96 100 741265 327188 0 
83 100 72503 26289 0 
66 100 1207288 653490 0 
47 100 1536465 113263 0 
48 100 927748 238113 0 
74 100 572785 56775 0 
81 100 328915 19164 0 
94 83 321879 56927 0 
100 74 163918 14540 0 
90 60 1296492 364645 0 
80 61 305961 449032 0 
77 47 2218953 380914 0 
61 56 35914 39790 0 
47 51 919790 91959 0 
24 38 531054 356373 0 
20 17 1980783 269586 0 
29 23 1877826 91401 0 
30 27 146161 31252 0 
66 56 1025533 21021 0 
